Tamanho,Tempo,Desvio,Imagem,Threads,Programa
256,0.024795,0.000188,elephant,4,mandelbrot_pth
512,0.0979493,0.0000282,elephant,4,mandelbrot_pth
1024,0.38936,0.00220,elephant,4,mandelbrot_pth
2048,1.54749,0.00129,elephant,4,mandelbrot_pth
4096,6.18147,0.00310,elephant,4,mandelbrot_pth
8192,24.74982,0.00856,elephant,4,mandelbrot_pth
16,0.0007400,0.0000188,triple_spiral,1,mandelbrot_pth
32,0.0015697,0.0000157,triple_spiral,1,mandelbrot_pth
64,0.004889,0.000168,triple_spiral,1,mandelbrot_pth
128,0.018397,0.000268,triple_spiral,1,mandelbrot_pth
256,0.067625,0.000195,triple_spiral,1,mandelbrot_pth
512,0.25929,0.00105,triple_spiral,1,mandelbrot_pth
1024,1.02320,0.00268,triple_spiral,1,mandelbrot_pth
2048,4.0840,0.0125,triple_spiral,1,mandelbrot_pth
4096,16.2142,0.0130,triple_spiral,1,mandelbrot_pth
8192,65.342,0.172,triple_spiral,1,mandelbrot_pth
16,0.0006665,0.0000198,triple_spiral,8,mandelbrot_pth
32,0.0007933,0.0000145,triple_spiral,8,mandelbrot_pth
64,0.0015191,0.0000419,triple_spiral,8,mandelbrot_pth
128,0.004715,0.000198,triple_spiral,8,mandelbrot_pth
256,0.018288,0.000419,triple_spiral,8,mandelbrot_pth
512,0.073492,0.000591,triple_spiral,8,mandelbrot_pth
1024,0.29439,0.00180,triple_spiral,8,mandelbrot_pth
2048,1.18275,0.00470,triple_spiral,8,mandelbrot_pth
4096,4.71783,0.00786,triple_spiral,8,mandelbrot_pth
8192,18.8600,0.0224,triple_spiral,8,mandelbrot_pth
16,0.001930,0.000260,seahorse,32,mandelbrot_pth
32,0.0014969,0.0000274,seahorse,32,mandelbrot_pth
64,0.0020857,0.0000751,seahorse,32,mandelbrot_pth
128,0.0046077,0.0000364,seahorse,32,mandelbrot_pth
256,0.016511,0.000217,seahorse,32,mandelbrot_pth
512,0.065079,0.000787,seahorse,32,mandelbrot_pth
1024,0.25128,0.00139,seahorse,32,mandelbrot_pth
2048,1.00520,0.00265,seahorse,32,mandelbrot_pth
4096,3.99688,0.00450,seahorse,32,mandelbrot_pth
8192,15.96823,0.00858,seahorse,32,mandelbrot_pth
16,0.000779,0.000169,full,4,mandelbrot_pth
32,0.0006067,0.0000141,full,4,mandelbrot_pth
64,0.0009443,0.0000145,full,4,mandelbrot_pth
128,0.0022065,0.0000111,full,4,mandelbrot_pth
256,0.0075212,0.0000409,full,4,mandelbrot_pth
512,0.028233,0.000374,full,4,mandelbrot_pth
1024,0.10076,0.00279,full,4,mandelbrot_pth
2048,0.36901,0.00703,full,4,mandelbrot_pth
4096,1.43867,0.00887,full,4,mandelbrot_pth
8192,5.72319,0.00781,full,4,mandelbrot_pth
16,0.000830,0.000209,full,1,mandelbrot_pth
32,0.0006177,0.0000183,full,1,mandelbrot_pth
64,0.0009980,0.0000177,full,1,mandelbrot_pth
128,0.002703,0.000174,full,1,mandelbrot_pth
256,0.0090204,0.0000298,full,1,mandelbrot_pth
512,0.032706,0.000112,full,1,mandelbrot_pth
1024,0.123910,0.000336,full,1,mandelbrot_pth
2048,0.48138,0.00184,full,1,mandelbrot_pth
4096,1.91609,0.00320,full,1,mandelbrot_pth
8192,7.6556,0.0132,full,1,mandelbrot_pth
16,0.001509,0.000125,full,32,mandelbrot_pth
32,0.0013984,0.0000227,full,32,mandelbrot_pth
64,0.00146310,0.00000931,full,32,mandelbrot_pth
128,0.002084,0.000154,full,32,mandelbrot_pth
256,0.0041166,0.0000971,full,32,mandelbrot_pth
512,0.011287,0.000160,full,32,mandelbrot_pth
1024,0.043154,0.000829,full,32,mandelbrot_pth
2048,0.15897,0.00220,full,32,mandelbrot_pth
4096,0.60511,0.00501,full,32,mandelbrot_pth
8192,2.4267,0.0136,full,32,mandelbrot_pth
16,0.0009535,0.0000243,elephant,16,mandelbrot_pth
32,0.0010633,0.0000173,elephant,16,mandelbrot_pth
64,0.0018767,0.0000224,elephant,16,mandelbrot_pth
128,0.0046065,0.0000458,elephant,16,mandelbrot_pth
256,0.016510,0.000187,elephant,16,mandelbrot_pth
512,0.065212,0.000380,elephant,16,mandelbrot_pth
1024,0.25287,0.00185,elephant,16,mandelbrot_pth
2048,0.99720,0.00587,elephant,16,mandelbrot_pth
4096,3.8557,0.0245,elephant,16,mandelbrot_pth
8192,15.2413,0.0270,elephant,16,mandelbrot_pth
16,0.0009673,0.0000156,triple_spiral,16,mandelbrot_pth
32,0.0011060,0.0000188,triple_spiral,16,mandelbrot_pth
64,0.0020486,0.0000426,triple_spiral,16,mandelbrot_pth
128,0.0056778,0.0000809,triple_spiral,16,mandelbrot_pth
256,0.018802,0.000298,triple_spiral,16,mandelbrot_pth
512,0.075606,0.000673,triple_spiral,16,mandelbrot_pth
1024,0.29264,0.00132,triple_spiral,16,mandelbrot_pth
2048,1.1773,0.0146,triple_spiral,16,mandelbrot_pth
4096,4.58679,0.00916,triple_spiral,16,mandelbrot_pth
8192,18.2485,0.0210,triple_spiral,16,mandelbrot_pth
16,0.0006202,0.0000184,seahorse,4,mandelbrot_pth
32,0.0008894,0.0000106,seahorse,4,mandelbrot_pth
64,0.0020908,0.0000924,seahorse,4,mandelbrot_pth
128,0.0060485,0.0000180,seahorse,4,mandelbrot_pth
256,0.023869,0.000113,seahorse,4,mandelbrot_pth
512,0.09679,0.00129,seahorse,4,mandelbrot_pth
1024,0.39220,0.00438,seahorse,4,mandelbrot_pth
2048,1.58384,0.00424,seahorse,4,mandelbrot_pth
4096,6.34919,0.00441,seahorse,4,mandelbrot_pth
8192,25.33298,0.00674,seahorse,4,mandelbrot_pth
16,0.0006550,0.0000159,seahorse,8,mandelbrot_pth
32,0.001166,0.000153,seahorse,8,mandelbrot_pth
64,0.0014218,0.0000185,seahorse,8,mandelbrot_pth
128,0.004268,0.000154,seahorse,8,mandelbrot_pth
256,0.015937,0.000157,seahorse,8,mandelbrot_pth
512,0.06806,0.00106,seahorse,8,mandelbrot_pth
1024,0.27873,0.00413,seahorse,8,mandelbrot_pth
2048,1.12607,0.00285,seahorse,8,mandelbrot_pth
4096,4.48807,0.00719,seahorse,8,mandelbrot_pth
8192,17.8727,0.0380,seahorse,8,mandelbrot_pth
16,0.002083,0.000263,triple_spiral,32,mandelbrot_pth
32,0.0015183,0.0000383,triple_spiral,32,mandelbrot_pth
64,0.0021275,0.0000527,triple_spiral,32,mandelbrot_pth
128,0.0052252,0.0000528,triple_spiral,32,mandelbrot_pth
256,0.018379,0.000142,triple_spiral,32,mandelbrot_pth
512,0.072893,0.000359,triple_spiral,32,mandelbrot_pth
1024,0.28592,0.00111,triple_spiral,32,mandelbrot_pth
2048,1.14018,0.00253,triple_spiral,32,mandelbrot_pth
4096,4.54251,0.00618,triple_spiral,32,mandelbrot_pth
8192,18.1506,0.0120,triple_spiral,32,mandelbrot_pth
16,0.000872,0.000139,elephant,1,mandelbrot_pth
32,0.0013874,0.0000180,elephant,1,mandelbrot_pth
64,0.0040242,0.0000340,elephant,1,mandelbrot_pth
128,0.015176,0.000157,elephant,1,mandelbrot_pth
256,0.056206,0.000221,elephant,1,mandelbrot_pth
512,0.214230,0.000757,elephant,1,mandelbrot_pth
1024,0.84607,0.00252,elephant,1,mandelbrot_pth
2048,3.36937,0.00579,elephant,1,mandelbrot_pth
4096,13.5183,0.0429,elephant,1,mandelbrot_pth
8192,53.4993,0.0720,elephant,1,mandelbrot_pth
16,0.0005929,0.0000153,full,8,mandelbrot_pth
32,0.0006414,0.0000170,full,8,mandelbrot_pth
64,0.0008573,0.0000132,full,8,mandelbrot_pth
128,0.0016478,0.0000160,full,8,mandelbrot_pth
256,0.005572,0.000134,full,8,mandelbrot_pth
512,0.020002,0.000156,full,8,mandelbrot_pth
1024,0.07237,0.00155,full,8,mandelbrot_pth
2048,0.26818,0.00483,full,8,mandelbrot_pth
4096,1.04995,0.00954,full,8,mandelbrot_pth
8192,4.1446,0.0109,full,8,mandelbrot_pth
16,0.001333,0.000192,full,16,mandelbrot_pth
32,0.0009502,0.0000133,full,16,mandelbrot_pth
64,0.0010180,0.0000121,full,16,mandelbrot_pth
128,0.0015580,0.0000149,full,16,mandelbrot_pth
256,0.0039305,0.0000970,full,16,mandelbrot_pth
512,0.014065,0.000226,full,16,mandelbrot_pth
1024,0.05417,0.00239,full,16,mandelbrot_pth
2048,0.18774,0.00467,full,16,mandelbrot_pth
4096,0.7709,0.0125,full,16,mandelbrot_pth
8192,3.02419,0.00624,full,16,mandelbrot_pth
16,0.0005988,0.0000121,triple_spiral,4,mandelbrot_pth
32,0.0008523,0.0000130,triple_spiral,4,mandelbrot_pth
64,0.0018646,0.0000140,triple_spiral,4,mandelbrot_pth
128,0.0063448,0.0000215,triple_spiral,4,mandelbrot_pth
256,0.025239,0.000115,triple_spiral,4,mandelbrot_pth
512,0.102818,0.000861,triple_spiral,4,mandelbrot_pth
1024,0.41577,0.00177,triple_spiral,4,mandelbrot_pth
2048,1.66662,0.00265,triple_spiral,4,mandelbrot_pth
4096,6.67499,0.00335,triple_spiral,4,mandelbrot_pth
8192,26.70543,0.00546,triple_spiral,4,mandelbrot_pth
16,0.0015766,0.0000113,elephant,32,mandelbrot_pth
32,0.0014783,0.0000175,elephant,32,mandelbrot_pth
64,0.0019677,0.0000457,elephant,32,mandelbrot_pth
128,0.004911,0.000170,elephant,32,mandelbrot_pth
256,0.015250,0.000121,elephant,32,mandelbrot_pth
512,0.060544,0.000398,elephant,32,mandelbrot_pth
1024,0.238607,0.000898,elephant,32,mandelbrot_pth
2048,0.94323,0.00240,elephant,32,mandelbrot_pth
4096,3.77177,0.00639,elephant,32,mandelbrot_pth
